text,label
"['letsgo', 'ceng', 'menatap', 'pertandingan', 'selanjutnya', 'semoga', 'kamu', 'juga', 'intropeksi', 'diri', 'dengan', 'berbenah', 'dan', 'berlatih', 'lagi', 'atas', 'kekurangan', 'kekurangan', 'kamu', 'dipertandingan', 'lawan', 'bahrain']",Positif
"['tetap', 'menyala', 'seperti', 'api', 'abangku']",Positif
"['sangat', 'menyala', 'timnas', 'abang', 'abangan', 'asean']",Positif
"['terima', 'kasih', 'sudah', 'memberikan', 'bukti', 'nyata']",Positif
"['gue', 'suka', 'gaya', 'lo']",Positif
"['kak', 'kev', 'kece', 'banget', 'sudah']",Positif
"['terima', 'kasih', 'atas', 'kerja', 'kerasnya', 'yang', 'tulus']",Positif
"['sumpah', 'kalian', 'keren', 'banget']",Positif
"['jangan', 'pernah', 'ragukan', 'rasa', 'nasionalisme', 'mereka', 'pada', 'negara', 'ini']",Positif
"['pergerakan', 'skil', 'dan', 'kecerdikan', 'memang', 'tidak pernah', 'gagal']",Positif
"['makin', 'mateng', 'ini', 'rr']",Positif
"['tunjukkan', 'lagi', 'ke', 'china', 'nanti', 'ya', 'abang']",Positif
"['rasanya', 'baru', 'kemarin', 'main', 'secara', 'luar', 'biasa', 'dan', 'raih', 'poin', 'sampai', 'jumpa', 'bulan', 'juni', 'guys']",Positif
"['eliano', 'terus', 'belajar', 'dari', 'abang', 'mu', 'yang', 'gacor', 'di', 'milan', 'dan', 'di', 'belanda', 'keep', 'fighting']",Positif
"['menyalaa', 'abangkuu']",Positif
"['mustahil', 'yapss', 'tipikal', 'permainan', 'kayak', 'kemarin', 'tapi', 'di', 'tambah', 'fokus', 'finishing', 'tanpa', 'buang', 'kesempatan', 'dan', 'pertahanan', 'lebih', 'kokoh', 'dan', 'gelandang', 'lebih', 'cerdik', 'dan', 'kuat', 'pasti', 'bisa']",Positif
"['gass', 'bung', 'eli']",Positif
"['kalau', 'gue', 'pribadi', 'sangatlah', 'berharap', 'timnas', 'indonesia', 'lolos', 'round', 'sebagai', 'runner', 'up', 'karena', 'setelah', 'lolos', 'timnas', 'indonesia', 'mempunyai', 'waktu', 'yang', 'lebih', 'lama', 'membangun', 'chemistry', 'untuk', 'piala', 'dunia']",Positif
"['kata', 'gue', 'mah', 'mending', 'fan', 'timnas', 'indonesia', 'tetap', 'berisik', 'sayang', 'itu', 'louderrr']",Positif
"['tidak', 'normal', 'ini', 'pemain', 'bagus', 'mulu', 'perfomancenya', 'dari', 'day']",Positif
"['keep', 'improving', 'bang', 'semangat']",Positif
"['kelasss', 'memang', 'match', 'kemarin']",Positif
"['menyala', 'nyala']",Positif
"['mantap', 'abang', 'kumis', 'juni', 'bungkus', 'lagi', 'poin', 'dari', 'match', 'ya']",Positif
"['well', 'done', 'luku', 'luku']",Positif
"['ridho', 'sih', 'mas', 'mas', 'jawa', 'yang', 'tiap', 'match', 'tidak', 'pernah', 'mengecewakan', 'semangat', 'terus', 'edho']",Positif
"['semangat', 'wak']",Positif
"['aduh', 'kakak', 'manise', 'indonesia', 'punya']",Positif
"['papua', 'tidak', 'pernah', 'kehabisan', 'talenta']",Positif
"['kencang', 'banget', 'larinyaa']",Positif
"['respect', 'sangat', 'kakak', 'ricky', 'kambuaya', 'siapa', 'bilang', 'pemain', 'liga', 'tidak', 'bisa', 'bersaing', 'dengan', 'pemain', 'diaspora', 'rizky', 'ridho', 'ricky', 'arhan', 'marselino', 'ferdinan', 'ernando', 'membuktikan', 'lokal', 'pride', 'itu', 'bisa', 'bersaing', 'ini', 'bukan', 'soal', 'bakat', 'tapi', 'mentalitas']",Positif
"['semangat', 'eliano', 'terima', 'kasih', 'atas', 'perjuanganmu', 'kemarin', 'memang', 'hasilnya', 'belum', 'maksimal', 'tapi', 'kamu', 'sudah', 'menunjukkan', 'potensi', 'besar', 'waktu', 'dan', 'kesempatan', 'masih', 'banyak', 'semangat']",Positif
"['menyala', 'pak', 'kumis']",Positif
"['manyala', 'abangku']",Positif
"['show', 'itu', 'again', 'besok', 'juni', 'bang']",Positif
"['belajar', 'cetak', 'gol', 'sama', 'kakaknyabiar', 'makin', 'mantap']",Positif
"['terima kasih', 'bro']",Positif
"['kakak', 'ini', 'wajib', 'starter', 'sih', 'menurut', 'ku', 'sebagai', 'sama', 'main', 'bentar', 'saja', 'bisa', 'bikin', 'asisst', 'yang', 'hampir', 'gol']",Positif
"['proud', 'of', 'you', 'abang', 'elii', 'belajar', 'finishing', 'bareng', 'abang', 'tijjani', 'biar', 'makin', 'mantap']",Positif
"['terimakasih', 'perjuangan', 'tim', 'tanpa', 'lelah', 'untuk', 'indonesiawalau', 'jauh', 'tanah', 'air', 'indonesia']",Positif
"['ini', 'sudah', 'pakai', 'paru', 'paru', 'kingkong', 'bukan', 'lagi', 'paru', 'paru', 'kuda']",Positif
"['passing', 'accuracy', 'masing', 'pemain', 'meningkat', 'ya']",Positif
"['kelas', 'banget', 'mainnya', 'timnas', 'indonesia', 'menyala', 'king']",Positif
"['doa', 'terbaik', 'buat', 'timnas', 'di', 'juni', 'nanti']",Positif
"['berkelas', 'itu', 'bernama', 'jay', 'idzes']",Positif
"['semangat', 'eli']",Positif
"['matur', 'nuwun', 'sangat', 'cak', 'sandy']",Positif
"['sepi', 'banget', 'beda', 'banget', 'pas', 'kalah', 'kemarin', 'we', 'love', 'patrick', 'we', 'love', 'pastoor']",Positif
"['keren', 'abang', 'tetap', 'semangat', 'ada', 'match', 'lagi', 'bisa', 'lah', 'poin']",Positif
"['kencang', 'banget', 'larinyaa']",Positif
"['menyala', 'abangku']",Positif
"['terimakasih', 'pak', 'kumis']",Positif
"['keren', 'banget', 'kakak', 'dari', 'awal', 'masuk', 'sibuk', 'banget', 'dia', 'di', 'lapangan', 'good', 'job']",Positif
"['terima', 'kasih', 'pak', 'kumis', 'harapan', 'itu', 'masih', 'ada', 'jangan', 'menyerah', 'terus', 'perjuangan']",Positif
"['selamat', 'datang', 'di', 'indonesia', 'menang', 'dipuji', 'kalah', 'didukung', 'semangat']",Positif
"['pemain', 'lokal', 'yang', 'layak', 'diperhitungkan']",Positif
"['tidak', 'banyak', 'omong', 'tapi', 'sekalinya', 'main', 'langsung', 'full', 'power']",Positif
"['mantap', 'adik', 'adik']",Positif
"['verdonk', 'tidak', 'tergantikan']",Positif
"['coach', 'plis', 'line', 'up', 'ya', 'jangan', 'diganti', 'ganti', 'lagi']",Positif
"['gila', 'sih', 'ini', 'anak', 'daya', 'juangnya']",Positif
"['tolong', 'pertahankan', 'skema', 'permainan', 'saat', 'lawan', 'bahrain', 'kuch', 'pakai', 'jangan', 'ngide', 'total', 'football', 'lagi']",Positif
"['mantap', 'eli']",Positif
"['ole', 'memang', 'pemain', 'berkelas', 'no', 'debat']",Positif
"['tetap', 'semangat', 'mas', 'bro']",Positif
"['di', 'jaman', 'patrick', 'kluivert', 'kayaknya', 'ini', 'salah', 'satu', 'lineup', 'terbaik', 'yang', 'dipunya', 'indonesia', 'di', 'ronde']",Positif
